time,Vvout_highq
1.280940823712426e-004,4.251401e-002
1.302127800895510e-004,4.043075e-002
1.323592103511995e-004,3.597756e-002
1.348141731022063e-004,2.877489e-002
1.370917509246975e-004,2.076031e-002
1.394180915898536e-004,1.193149e-002
1.416593294142007e-004,3.536648e-003
1.437776905981422e-004,-3.707137e-003
1.459044793056788e-004,-9.799526e-003
1.480978365293617e-004,-1.437805e-002
1.507992698003136e-004,-1.762643e-002
1.529208892517741e-004,-1.823024e-002
1.549815704596467e-004,-1.700936e-002
1.570670765634915e-004,-1.419010e-002
1.596879301712736e-004,-9.016736e-003
1.620033658741876e-004,-3.445819e-003
1.640890644897596e-004,2.042893e-003
1.662199289114347e-004,7.648885e-003
1.683635915719431e-004,1.282827e-002
1.709946975899503e-004,1.799930e-002
1.742406703133783e-004,2.223774e-002
1.773405800300030e-004,2.396843e-002
1.794859773803807e-004,2.360775e-002
1.815483655088116e-004,2.202233e-002
1.836193305457646e-004,1.945571e-002
1.864930547349579e-004,1.486259e-002
1.896004079880104e-004,9.303607e-003
1.920621527265050e-004,4.880483e-003
1.942254106291828e-004,1.362962e-003
1.965710477966317e-004,-1.769319e-003
1.987485438896676e-004,-3.853952e-003
2.010912236349876e-004,-5.103818e-003
2.031952719666260e-004,-5.326814e-003
2.052874265210103e-004,-4.697249e-003
2.073945499287763e-004,-3.298531e-003
2.099053089116377e-004,-8.917205e-004
2.120870652907077e-004,1.647741e-003
2.142923250590000e-004,4.450402e-003
2.165200780739389e-004,7.252579e-003
2.193370186689585e-004,1.039063e-002
2.227316129184775e-004,1.323455e-002
2.260491421006619e-004,1.482939e-002
2.284662398169164e-004,1.509635e-002
2.305253275962128e-004,1.465482e-002
2.326662905977529e-004,1.365408e-002
2.347824891896975e-004,1.222850e-002
2.378095577086518e-004,9.750533e-003
2.413336379072941e-004,6.704883e-003
2.444409572365301e-004,4.214738e-003
2.470676829537847e-004,2.531596e-003
2.496772543215494e-004,1.414668e-003
2.520794632319203e-004,9.240776e-004
2.541716209058140e-004,9.516405e-004
2.562966078187497e-004,1.404876e-003
2.588208848667055e-004,2.387885e-003
2.618597145524353e-004,3.987597e-003
2.652233992657185e-004,5.990438e-003
2.687378835044181e-004,7.974780e-003
2.728125602164526e-004,9.747780e-003
2.764273874430578e-004,1.064557e-002
