#Digilent WaveForms Network Analyzer - Bode
#Device Name: Discovery2
#Serial Number: SN:210321A35FCC
#Date Time: 2019-11-11 16:42:07.681
#Start: 40000 Hz
#Stop: 70000 Hz
#Steps: 151
#Wavegen: Wavegen1
#Amplification: 1 X
#Settle: 10 ms
#MinPeriods: 16 
#Channel: Channel 1
#Range: 5.42537 V
#Offset: 0.000183761 V
#Relative: no
#Channel: Channel 2
#Range: 5.47028 V
#Offset: -7.92091e-07 V
#Relative: yes

Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (*)
56590.50656649024,0.01809196481216479,0.3918424466141213,166.6085599377491
56802.02716151067,0.02401438525094198,0.2241909368060292,162.4060455025801
57014.33836550126,0.02716979381112778,0.01629872925370178,158.3816335600892
57227.44313355273,0.02851451022992488,-0.2254764254233169,154.5821723091227
57441.34443180114,0.02792466894578779,-0.4948136345155248,150.9864973567363
57656.04523746918,0.02858601574033317,-0.7879136759287968,147.6102958145801
57871.54853890766,0.02743262877963185,-1.09689272500937,144.4832458361483
58087.85733563704,0.02872167007844711,-1.418176023529903,141.5612840256485
58304.97463838923,0.0290830227999307,-1.751193663830384,138.8500521314611
58522.90346914944,0.02839597731346511,-2.08686338923694,136.3489589194928
58741.6468611983,0.02957736763973579,-2.424100455962104,134.0391436660298
58961.20785915406,0.02732586200291244,-2.76300351071872,131.8856231291169
59181.58951901495,0.02534316153619299,-3.100528832655097,129.8935015269237
59402.79490820173,0.01913864618935269,-3.435149763559979,128.0690123567188
59624.82710560037,0.01852566549855756,-3.76489171615268,126.3395619789103
59847.68920160491,0.02686374559464409,-4.092609166613943,124.7728485022092
60071.3842981605,0.02943528271156538,-4.410886029923256,123.3008473982162
60295.91550880657,0.0306713455063887,-4.725080508314329,121.9353240127064
60521.2859587201,0.02908501611492787,-5.031320695654329,120.6621014999247
60747.49878475921,0.03144386556055015,-5.332409667530169,119.4873668904164
60974.55713550674,0.03100569064892173,-5.62802900824135,118.355529549907
61202.46417131418,0.03016448982880156,-5.916773273821175,117.3175596302815
61431.22306434552,0.03159192902666242,-6.19421091154657,116.3615667258059
61660.83699862152,0.03330782683764143,-6.475692404974055,115.44237583914
61891.30917006395,0.03052789933456646,-6.742068189339308,114.5835449884916
62122.64278654013,0.02921541860266288,-7.001659395916313,113.7937358970313
62354.84106790755,0.02429287298050104,-7.258152773487325,113.0258763314178
62587.90724605868,0.01720886811502999,-7.510984578708799,112.2963968079396
62821.84456496597,0.02641645138215395,-7.758717250684494,111.6171740238092
63056.65628072699,0.03079317917051512,-8.000109831621195,110.9763665594715
63292.34566160976,0.03330114972709194,-8.234534620022359,110.3534147846086
63528.91598809823,0.0342680130219289,-8.464321195477604,109.7964331756879
63766.37055293796,0.03366444918268833,-8.687512411401672,109.24898704326
64004.71266118192,0.03287704366292463,-8.908129418459952,108.7373211816882
64243.94563023651,0.03510139480443097,-9.123739970517367,108.2468339962415
64484.07278990775,0.03399496403238231,-9.332239297153656,107.7705183455453
64725.09748244759,0.03532184779150591,-9.542383000138503,107.3391363368025
64967.02306260046,0.03370114242348297,-9.744032464828846,106.9059977493186
65209.85289764994,0.03387046928660981,-9.944652395683285,106.4833148899676
65453.59036746565,0.03434548527545193,-10.13545135904489,106.0953998353654
65698.23886455029,0.0341738860465861,-10.3217786930061,105.7373378265299
65943.80179408683,0.03534847065132318,-10.51503600774795,105.3886377463682
66190.28257398595,0.0350303579579871,-10.69898045920717,105.0295974774191
66437.68463493358,0.0331533941139864,-10.87958028119251,104.7027270117268
66686.01142043866,0.03206549781209615,-11.05454168116443,104.3788575349537
66935.26638688109,0.02660279293730829,-11.23082781490367,104.0885736309239
67185.4530035598,0.02021912970673882,-11.39855835925199,103.7817115261582
67436.57475274106,0.02930633555283782,-11.56319616768051,103.523633938695
67688.63512970693,0.03398314105742702,-11.72969356427476,103.2590168904252
67941.63764280398,0.03641540387657933,-11.89165915499752,103.0078422751382
68195.585813492,0.03726651623212014,-12.05282509838803,102.7319490336572
68450.48317639311,0.03877568433433564,-12.21150925471385,102.4771249770547
68706.33327934095,0.03763348398000144,-12.36388191492183,102.2570337058511
68963.13968343001,0.0357387425792908,-12.51220894526369,102.0330534869358
69220.90596306522,0.03720833691106601,-12.66340897509506,101.8127103149478
69479.63570601173,0.0380616677057122,-12.81280121644771,101.6098030623633
69739.33251344482,0.03800469133892406,-12.95057381432428,101.4179104788545
70000,0.04104838533445836,-13.09354947633258,101.1925857143639
