Freq.	V(vout_highq)
2.89087954149185e+004	(-7.63431001960545e-001dB,1.20754668127387e+002°)
2.95821677633641e+004	(-7.18185721207004e-001dB,1.17479876734396e+002°)
3.02712249687241e+004	(-6.67455770871109e-001dB,1.14281376144417e+002°)
3.09763323782495e+004	(-6.13434852286813e-001dB,1.11148691660077e+002°)
3.16978638492222e+004	(-5.58052646540186e-001dB,1.08074560699478e+002°)
3.24362019471785e+004	(-5.02980504441642e-001dB,1.05054265336164e+002°)
3.31917381487511e+004	(-4.49640465333206e-001dB,1.02085090939257e+002°)
3.39648730492348e+004	(-3.99216494300023e-001dB,9.91658786247800e+001°)
3.47560165749874e+004	(-3.52667483418710e-001dB,9.62966495985688e+001°)
3.55655882007784e+004	(-3.10741838972173e-001dB,9.34782868308848e+001°)
3.63940171721996e+004	(-2.73993538800449e-001dB,9.07122645787389e+001°)
3.72417427332572e+004	(-2.42799495807938e-001dB,8.80004196143617e+001°)
3.81092143592648e+004	(-2.17377971689143e-001dB,8.53447600580735e+001°)
3.89968919951608e+004	(-1.97807691718764e-001dB,8.27473088020619e+001°)
3.99052462993775e+004	(-1.84047242440132e-001dB,8.02099789418659e+001°)
4.08347588933904e+004	(-1.75954301817526e-001dB,7.77344786500070e+001°)
4.17859226170806e+004	(-1.73304258644261e-001dB,7.53222427301302e+001°)
4.27592417900445e+004	(-1.75807820454184e-001dB,7.29743878320071e+001°)
4.37552324789909e+004	(-1.83127278292436e-001dB,7.06916880931386e+001°)
4.47744227713666e+004	(-1.94891181971091e-001dB,6.84745678637002e+001°)
4.58173530553553e+004	(-2.10707270455868e-001dB,6.63231081939415e+001°)
4.68845763063983e+004	(-2.30173589877996e-001dB,6.42370639146380e+001°)
4.79766583803896e+004	(-2.52887809686503e-001dB,6.22158884010765e+001°)
4.90941783137004e+004	(-2.78454811510252e-001dB,6.02587634486816e+001°)
5.02377286301914e+004	(-3.06492673573013e-001dB,5.83646320705045e+001°)
5.14079156553771e+004	(-3.36637206085445e-001dB,5.65322324225091e+001°)
5.26053598379074e+004	(-3.68545211350916e-001dB,5.47601314465681e+001°)
5.38306960785381e+004	(-4.01896648611964e-001dB,5.30467571747444e+001°)
5.50845740667631e+004	(-4.36395880506975e-001dB,5.13904289500764e+001°)
5.63676586252889e+004	(-4.71772167986627e-001dB,4.97893850829365e+001°)
5.76806300625319e+004	(-5.07779565994278e-001dB,4.82418076771181e+001°)
5.90241845333275e+004	(-5.44196355122859e-001dB,4.67458445285439e+001°)
6.03990344080401e+004	(-5.80824126386041e-001dB,4.52996281264707e+001°)
6.18059086502716e+004	(-6.17486618345896e-001dB,4.39012918780395e+001°)
6.32455532033673e+004	(-6.54028388921814e-001dB,4.25489837380916e+001°)
6.47187313859254e+004	(-6.90313388768293e-001dB,4.12408774632435e+001°)
6.62262242965180e+004	(-7.26223489416270e-001dB,3.99751817277218e+001°)
6.77688312278402e+004	(-7.61657007510695e-001dB,3.87501473430600e+001°)
6.93473700905061e+004	(-7.96527256416140e-001dB,3.75640728184284e+001°)
7.09626778467148e+004	(-8.30761148083305e-001dB,3.64153084862669e+001°)
7.26156109540200e+004	(-8.64297861218227e-001dB,3.53022594015567e+001°)
7.43070458194342e+004	(-8.97087586285367e-001dB,3.42233872043773e+001°)
7.60378792641119e+004	(-9.29090353524725e-001dB,3.31772111158028e+001°)
7.78090289988558e+004	(-9.60274946789168e-001dB,3.21623082176661e+001°)
7.96214341106991e+004	(-9.90617903448664e-001dB,3.11773131479711e+001°)
8.14760555608222e+004	(-1.02010259871440e+000dB,3.02209173261820e+001°)
8.33738766940667e+004	(-1.04871841138048e+000dB,2.92918678065217e+001°)
